incident_id,filename,title,date,severity,region,failure_family,primary_service,technology,root_cause,ground_truth_pattern,impact,duration_minutes,symptoms,contributing_factors,preventive_actions
INC-0001,INC-0001_dns-failure-001.md,payout-service elevated checkout latency due to coredns resolver saturation,2025-01-08,SEV3,US,DNS Failures,payout-service,CoreDNS,CoreDNS resolver saturation,dependency discovery failure,elevated checkout latency,57,retry spikes; slow dependency calls; pod restarts; elevated p95 latency; manual mitigation required; increased timeout rate,dependency discovery failure; unclear ownership; synchronized traffic bursts; insufficient backpressure,enforce config validation; document runbook; add synthetic transaction check; add load test scenario
INC-0002,INC-0002_dns-failure-002.md,checkout-api elevated checkout latency due to stale dns records after failover,2025-01-11,SEV2,US,DNS Failures,checkout-api,Route53,stale DNS records after failover,partial regional degradation,elevated checkout latency,108,manual mitigation required; increased timeout rate; partial customer impact; NXDOMAIN spikes; slow dependency calls; intermittent 5xx errors,partial regional degradation; insufficient backpressure; limited runbook coverage; missing circuit breaker,add load test scenario; improve idempotency handling; add canary validation; document runbook
INC-0003,INC-0003_dns-failure-003.md,payout-service partial payment failures due to route53 propagation delay,2025-01-14,SEV2,APAC,DNS Failures,payout-service,CoreDNS,Route53 propagation delay,dependency discovery failure,partial payment failures,81,manual mitigation required; intermittent 5xx errors; CPU saturation; inconsistent state observed by customers; partial customer impact; retry spikes,dependency discovery failure; lack of bulkhead isolation; synchronized traffic bursts; unclear ownership,improve idempotency handling; introduce jittered exponential backoff; add bulkhead isolation; document runbook
INC-0004,INC-0004_dns-failure-004.md,payment-api delayed payouts due to bad internal dns rollout,2025-01-19,SEV2,US-East,DNS Failures,payment-api,Envoy,bad internal DNS rollout,partial regional degradation,delayed payouts,164,inconsistent state observed by customers; NXDOMAIN spikes; manual mitigation required; DNS lookup latency; elevated p95 latency; queue growth,partial regional degradation; insufficient backpressure; lack of bulkhead isolation; manual rollback process,improve idempotency handling; add canary validation; document runbook; add synthetic transaction check
INC-0005,INC-0005_dns-failure-005.md,risk-service elevated checkout latency due to expired dns cache entry,2025-01-21,SEV1,US,DNS Failures,risk-service,Consul DNS,expired DNS cache entry,partial regional degradation,elevated checkout latency,165,NXDOMAIN spikes; DNS lookup latency; slow dependency calls; pod restarts; partial customer impact; queue growth,partial regional degradation; weak alerting; insufficient load testing; limited runbook coverage,introduce jittered exponential backoff; add cache invalidation test; enforce config validation; add dependency saturation dashboard
INC-0006,INC-0006_dns-failure-006.md,risk-service inconsistent payment method availability due to dns search path misconfiguration,2025-01-25,SEV2,EU-West,DNS Failures,risk-service,Envoy,DNS search path misconfiguration,partial regional degradation,inconsistent payment method availability,24,queue growth; inconsistent state observed by customers; connection pool pressure; manual mitigation required; intermittent 5xx errors; DNS lookup latency,partial regional degradation; lack of bulkhead isolation; missing circuit breaker; high-cardinality metrics,add SLO alerting; add load test scenario; add bulkhead isolation; introduce jittered exponential backoff
INC-0007,INC-0007_dns-failure-007.md,wallet-service increased error rate due to split-horizon dns mismatch,2025-01-27,SEV3,EU-West,DNS Failures,wallet-service,CoreDNS,split-horizon DNS mismatch,retry amplification,increased error rate,72,partial customer impact; connection pool pressure; manual mitigation required; DNS lookup latency; elevated p95 latency; slow dependency calls,retry amplification; lack of bulkhead isolation; limited runbook coverage; insufficient backpressure,document runbook; add SLO alerting; add cache invalidation test; add dependency saturation dashboard
INC-0008,INC-0008_dns-failure-008.md,checkout-api inconsistent payment method availability due to resolver connection exhaustion,2025-01-31,SEV3,EU-West,DNS Failures,checkout-api,Consul DNS,resolver connection exhaustion,partial regional degradation,inconsistent payment method availability,54,intermittent service discovery failures; connection pool pressure; retry spikes; intermittent 5xx errors; DNS lookup latency; slow dependency calls,partial regional degradation; manual rollback process; unclear ownership; insufficient load testing,add synthetic transaction check; add bulkhead isolation; add cache invalidation test; add dependency saturation dashboard
INC-0009,INC-0009_dns-failure-009.md,payment-api increased error rate due to incorrect service discovery record,2025-02-01,SEV2,EU-West,DNS Failures,payment-api,Route53,incorrect service discovery record,dependency discovery failure,increased error rate,80,elevated p95 latency; increased timeout rate; delayed async processing; inconsistent state observed by customers; intermittent service discovery failures; queue growth,dependency discovery failure; missing circuit breaker; insufficient backpressure; lack of bulkhead isolation,add load test scenario; add synthetic transaction check; document runbook; introduce jittered exponential backoff
INC-0010,INC-0010_dns-failure-010.md,payout-service inconsistent payment method availability due to dns negative caching issue,2025-02-04,SEV2,Global,DNS Failures,payout-service,Nginx,DNS negative caching issue,partial regional degradation,inconsistent payment method availability,126,queue growth; inconsistent state observed by customers; pod restarts; partial customer impact; NXDOMAIN spikes; delayed async processing,partial regional degradation; limited runbook coverage; insufficient backpressure; missing circuit breaker,add dependency saturation dashboard; document runbook; improve idempotency handling; add bulkhead isolation
INC-0011,INC-0011_retry-storm-001.md,notification-dispatcher merchant portal degradation due to aggressive client retry policy,2025-02-07,SEV2,APAC,Retry Storms,notification-dispatcher,Redis,aggressive client retry policy,dependency saturation,merchant portal degradation,85,CPU saturation; manual mitigation required; connection pool pressure; increased timeout rate; elevated p95 latency; burst traffic to downstream dependency,dependency saturation; insufficient backpressure; missing circuit breaker; unclear ownership,add synthetic transaction check; document runbook; enforce config validation; add SLO alerting
INC-0012,INC-0012_retry-storm-002.md,checkout-api inconsistent payment method availability due to missing exponential backoff,2025-02-11,SEV3,APAC,Retry Storms,checkout-api,Redis,missing exponential backoff,partial degradation amplified by retries,inconsistent payment method availability,138,delayed async processing; retry attempts exceeded normal baseline; manual mitigation required; connection pool pressure; inconsistent state observed by customers; CPU saturation,partial degradation amplified by retries; weak alerting; unclear ownership; high-cardinality metrics,add SLO alerting; add canary validation; add cache invalidation test; add bulkhead isolation
INC-0013,INC-0013_retry-storm-003.md,notification-dispatcher partial payment failures due to retry loop after downstream timeout,2025-02-15,SEV1,EU-West,Retry Storms,notification-dispatcher,Redis,retry loop after downstream timeout,dependency saturation,partial payment failures,69,increased timeout rate; inconsistent state observed by customers; queue growth; pod restarts; retry attempts exceeded normal baseline; slow dependency calls,dependency saturation; unclear ownership; insufficient backpressure; missing circuit breaker,add canary validation; add load test scenario; document runbook; add cache invalidation test
INC-0014,INC-0014_retry-storm-004.md,checkout-api delayed payment status updates due to synchronized retry bursts,2025-02-16,SEV1,US-East,Retry Storms,checkout-api,Kafka,synchronized retry bursts,cascading latency,delayed payment status updates,139,elevated p95 latency; CPU saturation; slow dependency calls; manual mitigation required; increased timeout rate; inconsistent state observed by customers,cascading latency; insufficient load testing; unclear ownership; high-cardinality metrics,document runbook; add canary validation; add load test scenario; introduce jittered exponential backoff
INC-0015,INC-0015_retry-storm-005.md,fraud-checker increased error rate due to unbounded sdk retries,2025-02-21,SEV2,US-East,Retry Storms,fraud-checker,SQL Server,unbounded SDK retries,queue growth,increased error rate,24,intermittent 5xx errors; inconsistent state observed by customers; increased timeout rate; retry spikes; retry attempts exceeded normal baseline; manual mitigation required,queue growth; missing circuit breaker; insufficient load testing; weak alerting,add canary validation; document runbook; add load test scenario; add synthetic transaction check
INC-0016,INC-0016_retry-storm-006.md,gateway-adapter partial payment failures due to retry-on-all-errors policy,2025-02-22,SEV2,APAC,Retry Storms,gateway-adapter,HTTP client,retry-on-all-errors policy,partial degradation amplified by retries,partial payment failures,22,inconsistent state observed by customers; intermittent 5xx errors; retry spikes; delayed async processing; CPU saturation; connection pool pressure,partial degradation amplified by retries; manual rollback process; insufficient load testing; insufficient backpressure,add bulkhead isolation; add SLO alerting; add canary validation; introduce jittered exponential backoff
INC-0017,INC-0017_retry-storm-007.md,fraud-checker delayed payment status updates due to missing jitter,2025-02-25,SEV2,EU,Retry Storms,fraud-checker,RabbitMQ,missing jitter,partial degradation amplified by retries,delayed payment status updates,75,inconsistent state observed by customers; increased timeout rate; partial customer impact; connection pool pressure; pod restarts; slow dependency calls,partial degradation amplified by retries; weak alerting; unclear ownership; synchronized traffic bursts,introduce jittered exponential backoff; add canary validation; enforce config validation; document runbook
